IUCN,SPEC,COU,Value
THREATENED,BIRD,ESP,114
ENDANGERED_IND,BIRD,ESP,33
CRITICAL_IND,BIRD,ESP,18
VULNERABLE_IND,BIRD,ESP,63
TOT_KNOWN,BIRD,SWE,257
TOT_KNOWN_IND,BIRD,SWE,257
ENDANGERED,BIRD,SWE,11
CRITICAL,BIRD,SWE,6
VULNERABLE,BIRD,SWE,35
THREATENED,BIRD,SWE,52
ENDANGERED_IND,BIRD,SWE,11
CRITICAL_IND,BIRD,SWE,6
VULNERABLE_IND,BIRD,SWE,35
TOT_KNOWN,BIRD,CHE,205
TOT_KNOWN_IND,BIRD,CHE,199
ENDANGERED,BIRD,CHE,21
CRITICAL,BIRD,CHE,9
VULNERABLE,BIRD,CHE,41
THREATENED,BIRD,CHE,71
ENDANGERED_IND,BIRD,CHE,21
CRITICAL_IND,BIRD,CHE,9
VULNERABLE_IND,BIRD,CHE,41
TOT_KNOWN,BIRD,TUR,460
THREATENED,BIRD,TUR,17
TOT_KNOWN,BIRD,GBR,590
ENDANGERED,BIRD,GBR,50
CRITICAL,BIRD,GBR,27
VULNERABLE,BIRD,GBR,57
THREATENED,BIRD,GBR,134
ENDANGERED_IND,BIRD,GBR,50
CRITICAL_IND,BIRD,GBR,27
VULNERABLE_IND,BIRD,GBR,57
TOT_KNOWN,BIRD,USA,831
TOT_KNOWN_IND,BIRD,USA,766
ENDANGERED,BIRD,USA,25
CRITICAL,BIRD,USA,36
VULNERABLE,BIRD,USA,40
THREATENED,BIRD,USA,101
ENDANGERED_IND,BIRD,USA,23
CRITICAL_IND,BIRD,USA,35
VULNERABLE_IND,BIRD,USA,39
TOT_KNOWN,BIRD,CHL,498
TOT_KNOWN_IND,BIRD,CHL,492
ENDANGERED,BIRD,CHL,21
VULNERABLE,BIRD,CHL,22
THREATENED,BIRD,CHL,45
ENDANGERED_IND,BIRD,CHL,21
VULNERABLE_IND,BIRD,CHL,22
TOT_KNOWN,BIRD,EST,377
TOT_KNOWN_IND,BIRD,EST,370
ENDANGERED,BIRD,EST,8
CRITICAL,BIRD,EST,8
VULNERABLE,BIRD,EST,22
THREATENED,BIRD,EST,38
ENDANGERED_IND,BIRD,EST,8
CRITICAL_IND,BIRD,EST,8
VULNERABLE_IND,BIRD,EST,22
TOT_KNOWN,BIRD,RUS,732
THREATENED,BIRD,RUS,56
TOT_KNOWN,BIRD,SVN,380
TOT_KNOWN_IND,BIRD,SVN,365
ENDANGERED,BIRD,SVN,43
CRITICAL,BIRD,SVN,17
VULNERABLE,BIRD,SVN,45
THREATENED,BIRD,SVN,105
ENDANGERED_IND,BIRD,SVN,43
CRITICAL_IND,BIRD,SVN,17
VULNERABLE_IND,BIRD,SVN,45
TOT_KNOWN,REPTILE,AUS,1025
ENDANGERED,REPTILE,AUS,18
CRITICAL,REPTILE,AUS,10
VULNERABLE,REPTILE,AUS,33
THREATENED,REPTILE,AUS,61
ENDANGERED_IND,REPTILE,AUS,18
CRITICAL_IND,REPTILE,AUS,10
VULNERABLE_IND,REPTILE,AUS,33
TOT_KNOWN,REPTILE,AUT,14
TOT_KNOWN_IND,REPTILE,AUT,14
ENDANGERED,REPTILE,AUT,3
CRITICAL,REPTILE,AUT,3
VULNERABLE,REPTILE,AUT,3
THREATENED,REPTILE,AUT,9
ENDANGERED_IND,REPTILE,AUT,3
CRITICAL_IND,REPTILE,AUT,3
VULNERABLE_IND,REPTILE,AUT,3
TOT_KNOWN,REPTILE,BEL,10
TOT_KNOWN_IND,REPTILE,BEL,7
ENDANGERED,REPTILE,BEL,2
VULNERABLE,REPTILE,BEL,2
THREATENED,REPTILE,BEL,4
ENDANGERED_IND,REPTILE,BEL,2
VULNERABLE_IND,REPTILE,BEL,2
TOT_KNOWN,REPTILE,CAN,45
TOT_KNOWN_IND,REPTILE,CAN,43
ENDANGERED,REPTILE,CAN,6
VULNERABLE,REPTILE,CAN,15
THREATENED,REPTILE,CAN,26
ENDANGERED_IND,REPTILE,CAN,6
VULNERABLE_IND,REPTILE,CAN,15
TOT_KNOWN,REPTILE,CZE,13
TOT_KNOWN_IND,REPTILE,CZE,11
ENDANGERED,REPTILE,CZE,3
CRITICAL,REPTILE,CZE,3
VULNERABLE,REPTILE,CZE,1
THREATENED,REPTILE,CZE,7
TOT_KNOWN,REPTILE,DNK,8
TOT_KNOWN_IND,REPTILE,DNK,8
TOT_KNOWN,REPTILE,FIN,5
TOT_KNOWN_IND,REPTILE,FIN,5
VULNERABLE,REPTILE,FIN,1
THREATENED,REPTILE,FIN,1
VULNERABLE_IND,REPTILE,FIN,1
TOT_KNOWN,REPTILE,FRA,38
ENDANGERED,REPTILE,FRA,3
CRITICAL,REPTILE,FRA,0
VULNERABLE,REPTILE,FRA,6
THREATENED,REPTILE,FRA,9
TOT_KNOWN,REPTILE,DEU,13
TOT_KNOWN_IND,REPTILE,DEU,13
ENDANGERED,REPTILE,DEU,3
CRITICAL,REPTILE,DEU,4
VULNERABLE,REPTILE,DEU,1
THREATENED,REPTILE,DEU,8
ENDANGERED_IND,REPTILE,DEU,3
CRITICAL_IND,REPTILE,DEU,4
VULNERABLE_IND,REPTILE,DEU,1
TOT_KNOWN,REPTILE,GRC,66
TOT_KNOWN_IND,REPTILE,GRC,64
ENDANGERED,REPTILE,GRC,2
CRITICAL,REPTILE,GRC,1
VULNERABLE,REPTILE,GRC,6
THREATENED,REPTILE,GRC,9
ENDANGERED_IND,REPTILE,GRC,2
CRITICAL_IND,REPTILE,GRC,1
VULNERABLE_IND,REPTILE,GRC,6
TOT_KNOWN,REPTILE,HUN,15
TOT_KNOWN_IND,REPTILE,HUN,15
ENDANGERED,REPTILE,HUN,4
THREATENED,REPTILE,HUN,4
ENDANGERED_IND,REPTILE,HUN,4
TOT_KNOWN,REPTILE,IRL,3
TOT_KNOWN_IND,REPTILE,IRL,2
ENDANGERED,REPTILE,IRL,0
THREATENED,REPTILE,IRL,0
ENDANGERED_IND,REPTILE,IRL,0
TOT_KNOWN,REPTILE,ITA,56
ENDANGERED,REPTILE,ITA,5
CRITICAL,REPTILE,ITA,1
VULNERABLE,REPTILE,ITA,5
THREATENED,REPTILE,ITA,11
TOT_KNOWN,REPTILE,JPN,100
ENDANGERED,REPTILE,JPN,9
CRITICAL,REPTILE,JPN,5
VULNERABLE,REPTILE,JPN,23
THREATENED,REPTILE,JPN,37
TOT_KNOWN,REPTILE,KOR,32
ENDANGERED,REPTILE,KOR,3
VULNERABLE,REPTILE,KOR,2
THREATENED,REPTILE,KOR,5
TOT_KNOWN,REPTILE,LUX,6
ENDANGERED,REPTILE,LUX,0
CRITICAL,REPTILE,LUX,0
VULNERABLE,REPTILE,LUX,2
THREATENED,REPTILE,LUX,2
TOT_KNOWN,REPTILE,MEX,908
TOT_KNOWN_IND,REPTILE,MEX,509
ENDANGERED,REPTILE,MEX,27
CRITICAL,REPTILE,MEX,0
VULNERABLE,REPTILE,MEX,138
THREATENED,REPTILE,MEX,165
ENDANGERED_IND,REPTILE,MEX,17
CRITICAL_IND,REPTILE,MEX,0
VULNERABLE_IND,REPTILE,MEX,92
TOT_KNOWN,REPTILE,NLD,7
ENDANGERED,REPTILE,NLD,0
CRITICAL,REPTILE,NLD,1
VULNERABLE,REPTILE,NLD,4
THREATENED,REPTILE,NLD,5
TOT_KNOWN,REPTILE,NZL,107
TOT_KNOWN_IND,REPTILE,NZL,106
ENDANGERED_IND,REPTILE,NZL,8
CRITICAL_IND,REPTILE,NZL,8
VULNERABLE_IND,REPTILE,NZL,21
TOT_KNOWN,REPTILE,NOR,6
TOT_KNOWN_IND,REPTILE,NOR,5
TOT_KNOWN,REPTILE,POL,11
TOT_KNOWN_IND,REPTILE,POL,9
ENDANGERED,REPTILE,POL,1
CRITICAL,REPTILE,POL,1
VULNERABLE,REPTILE,POL,1
THREATENED,REPTILE,POL,3
ENDANGERED_IND,REPTILE,POL,1
CRITICAL_IND,REPTILE,POL,1
VULNERABLE_IND,REPTILE,POL,1
TOT_KNOWN,REPTILE,PRT,49
TOT_KNOWN_IND,REPTILE,PRT,32
ENDANGERED,REPTILE,PRT,4
VULNERABLE,REPTILE,PRT,6
THREATENED,REPTILE,PRT,10
ENDANGERED_IND,REPTILE,PRT,4
VULNERABLE_IND,REPTILE,PRT,6
TOT_KNOWN,REPTILE,SVK,12
TOT_KNOWN_IND,REPTILE,SVK,12
CRITICAL,REPTILE,SVK,1
VULNERABLE,REPTILE,SVK,4
THREATENED,REPTILE,SVK,5
CRITICAL_IND,REPTILE,SVK,1
VULNERABLE_IND,REPTILE,SVK,4
TOT_KNOWN,REPTILE,ESP,92
ENDANGERED,REPTILE,ESP,10
CRITICAL,REPTILE,ESP,8
VULNERABLE,REPTILE,ESP,16
THREATENED,REPTILE,ESP,34
ENDANGERED_IND,REPTILE,ESP,10
CRITICAL_IND,REPTILE,ESP,8
VULNERABLE_IND,REPTILE,ESP,16
TOT_KNOWN,REPTILE,SWE,6
